id,parent,content
1,,Dynamic Layers (Complementary Taxonomy)
2,1,Confidence Distribution
3,2,Agent Confidence Scores
4,2,Probabilistic Routing Paths
5,2,Convergence Thresholds
6,2,Agreement Finder
7,1,Debate & Refinement Loops
8,7,Loop Orchestrator
9,7,Collaborative Refinement Phase
10,7,Cross-Examination
11,7,Synthesis Agent
12,7,Consensus Scoring
13,1,Observability
14,13,Trace Logging (Redis/RedisStack)
15,13,Execution Replay
16,13,Metrics & Telemetry
17,13,Langfuse Evaluation Hooks
18,1,Memory Dynamics
19,18,Decay Scheduling
20,18,TTL Expiry
21,18,Importance Scoring
22,18,Reinforcement of Used Memory
23,1,Episodic Flow
24,23,Immediate Memory (per-step)
25,23,Short-Term Loop Context
26,23,Episodic Storage
27,23,Semantic Integration
28,23,Procedural Persistence
