timestamp,agent_type,response_order,total_agents,references_to_others,referenced_perspectives,argument_strength,confrontational_tone,collaborative_tone,file_path
20250713_143008,progressive,1,8,4,progressive | conservative | realist | purist,3.0,False,True,orka_trace_20250713_143008.json
20250713_143008,progressive,2,8,4,progressive | conservative | realist | purist,3.0,False,True,orka_trace_20250713_143008.json
20250713_143008,progressive,3,8,1,realist,1.5,False,False,orka_trace_20250713_143008.json
20250713_143008,purist,4,8,1,purist,1.5,False,True,orka_trace_20250713_143008.json
20250713_143008,progressive,5,8,1,advocate,0.0,False,False,orka_trace_20250713_143008.json
20250713_143008,progressive,6,8,0,,0.0,False,False,orka_trace_20250713_143008.json
20250713_143008,progressive,7,8,0,,3.0,False,False,orka_trace_20250713_143008.json
20250713_143008,progressive,8,8,1,realist,1.5,True,True,orka_trace_20250713_143008.json
20250713_143345,progressive,1,8,5,progressive | conservative | realist | purist | advocate,1.5,False,True,orka_trace_20250713_143345.json
20250713_143345,progressive,2,8,4,progressive | conservative | realist | purist,3.0,False,True,orka_trace_20250713_143345.json
20250713_143345,progressive,3,8,1,realist,1.5,False,True,orka_trace_20250713_143345.json
20250713_143345,purist,4,8,1,purist,1.5,False,False,orka_trace_20250713_143345.json
20250713_143345,progressive,5,8,1,progressive,3.0,False,False,orka_trace_20250713_143345.json
20250713_143345,progressive,6,8,1,progressive,1.5,False,True,orka_trace_20250713_143345.json
20250713_143345,progressive,7,8,0,,3.0,False,True,orka_trace_20250713_143345.json
20250713_143345,progressive,8,8,0,,1.5,False,True,orka_trace_20250713_143345.json
20250713_143718,progressive,1,8,4,progressive | conservative | realist | purist,1.5,False,True,orka_trace_20250713_143718.json
20250713_143718,progressive,2,8,4,progressive | conservative | realist | purist,1.5,False,True,orka_trace_20250713_143718.json
20250713_143718,progressive,3,8,1,realist,1.5,False,True,orka_trace_20250713_143718.json
20250713_143718,purist,4,8,1,purist,1.5,False,True,orka_trace_20250713_143718.json
20250713_143718,progressive,5,8,0,,3.0,False,False,orka_trace_20250713_143718.json
20250713_143718,progressive,6,8,0,,1.5,False,False,orka_trace_20250713_143718.json
20250713_143718,progressive,7,8,0,,1.5,False,True,orka_trace_20250713_143718.json
20250713_143718,progressive,8,8,0,,1.5,False,False,orka_trace_20250713_143718.json
20250713_144045,progressive,1,8,3,conservative | realist | purist,1.5,False,True,orka_trace_20250713_144045.json
20250713_144045,progressive,2,8,4,progressive | conservative | realist | purist,4.5,False,True,orka_trace_20250713_144045.json
20250713_144045,progressive,3,8,1,realist,1.5,False,False,orka_trace_20250713_144045.json
